ID_REF,GSM41252,GSM41253,GSM41254,GSM41255,GSM41256,GSM41257,GSM41258,GSM41259,GSM41260,GSM41264,GSM41265,GSM41266,GSM41279,GSM41280,GSM41281,GSM41785,GSM41786,GSM41787,GSM41788,GSM41789,GSM41790,GSM41791,GSM41792,GSM41793,GSM41797,GSM41798,GSM41799,GSM41811,GSM41812,GSM41813
Q0160,0.0256222,-0.0696103,-0.0627083,0.196639,0.75499,-0.180438,0.589715,0.508674,0.171201,0.330575,0.500598,0.231861,-0.443223,-0.637488,-1.15709,0.190229,0.568785,0.151675,-0.0633469,0.744085,0.245965,0.279595,0.816227,1.16374,0.249511,0.229406,0.322577,-1.65283,-0.631066,-1.30706
Q0250,-0.509638,0.0527719,0.117102,-1.31291,0.610441,-0.07729,-0.451318,0.174824,0.0221715,-0.610457,0.429193,0.47833,0.481786,0.00579771,-0.194929,0.332193,0.446038,0.306888,-0.159587,-0.0340413,0.148615,0.515009,0.197362,0.321473,0.480554,0.152033,0.167666,-0.746636,-0.393714,-0.639728
Q0255,-0.451874,0.0948541,-0.145489,-0.292291,0.270368,0.415536,-0.291346,-0.00952294,0.16464,-0.44832,0.635482,0.311802,-0.357058,-0.811809,-0.91878,0.33474,-0.0673369,-0.39476,-0.264267,0.105316,-0.679263,-0.33749,-0.127878,0.189241,-0.0920133,-0.111464,-0.296155,-1.68568,-0.123997,-1.69812
Q0275,-0.0589996,-0.329389,-0.161162,0.161494,0.504672,0.303321,0.287948,0.364081,0.257052,-0.0262406,0.319612,0.21136,-0.43512,-0.711109,-1.05639,-0.187264,0.285914,0.465356,-0.568483,0.531471,0.388132,-0.254502,0.577767,0.649383,-0.0611025,0.427761,0.512058,-1.4905,-0.615996,-0.670149
YAL001C,-0.136998,-0.22584,-0.0752167,-0.00855651,0.0662143,-0.224509,0.398632,0.269179,0.143037,0.2441,0.106588,0.174442,0.0495129,-0.100158,-0.00653349,-0.289883,-0.116931,0.110151,-0.300128,0.129602,-0.0759868,-0.21495,-0.069133,-0.0640174,0.153935,0.0976916,0.000838901,-0.0390179,-0.00803623,0.000678718
YAL002W,-0.294511,-0.28348,-0.532994,-0.257701,-0.196492,-0.241122,0.137389,0.374973,0.399807,-0.248892,0.00170249,-0.107801,-0.155554,-0.0409723,-0.0407772,-0.25648,-0.106853,-0.124308,-0.243683,-0.147451,-0.301318,-0.116863,-0.268177,-0.331304,-0.116186,0.00532047,-0.243287,0.203853,0.114281,0.0295909
YAL003W,0.0187829,0.176953,0.590905,-0.486612,-0.0521233,-0.320197,-1.20116,-1.05069,-1.05504,-0.530252,-0.261595,-0.0849172,0.298128,-0.161108,-0.181308,-0.203198,-0.00943106,0.0560047,0.025852,0.18697,0.19509,-0.00186983,0.195274,0.160466,0.172819,0.137714,0.0656426,-0.545989,-0.266487,-0.231847
YAL005C,-0.0729492,0.087715,0.127223,0.172988,0.246657,0.106874,0.480201,0.357327,0.39074,1.43486,1.31991,1.46762,-0.444402,-0.588944,-0.54677,-0.110027,0.228726,0.161486,-0.0110525,0.219288,0.339676,0.0140305,0.0450019,0.242964,0.275175,0.163423,0.129869,-0.186936,-0.174528,-0.183604
YAL007C,-0.166997,-0.0437118,0.0740726,-0.267548,-0.293332,-0.0961414,-0.554033,-0.0446521,-0.206239,-0.509424,-0.327697,-0.288644,0.162244,0.111755,0.100553,-0.156273,-0.213424,-0.0464682,0.051863,-0.0963166,-0.0424846,-0.120437,-0.301798,-0.18633,-0.228626,-0.0460257,0.0143569,0.242859,0.180034,0.352344
YAL008W,-0.393664,-0.35334,-0.210829,-0.140817,0.053061,-0.113445,0.518958,0.338969,0.4302,0.635984,0.593111,0.809155,-0.291085,-0.443767,-0.492513,-0.305946,-0.301764,0.21932,-0.369668,-0.269551,-0.118067,-0.230525,-0.185716,-0.297724,-0.206105,-0.241529,-0.403178,0.0125082,0.000490252,0.0792481
